"SourceFile";"FileName";"CreateDate";"GPSPosition";"newfilename";"lon";"lat";"Ano";"Mes";"Dia";"Hora";"Min";"Seg";"filepath"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112012_dri_mal_028.jpg";"20171123_112012_dri_mal_028.jpg";"2017:11:23 11:20:12";"42.9283528333333 -9.05126663888889";"20171123_112012_dri_mal_028.jpg";-9,05126;42,92835;"2017";"11";"23";"11";"20";"12";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112012_dri_mal_028.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112023_dri_mal_029.jpg";"20171123_112023_dri_mal_029.jpg";"2017:11:23 11:20:23";"42.9283389444444 -9.05132966666667";"20171123_112023_dri_mal_029.jpg";-9,05132;42,92833;"2017";"11";"23";"11";"20";"23";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112023_dri_mal_029.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112040_dri_mal_030.jpg";"20171123_112040_dri_mal_030.jpg";"2017:11:23 11:20:40";"42.9283392777778 -9.05130366666667";"20171123_112040_dri_mal_030.jpg";-9,0513;42,92833;"2017";"11";"23";"11";"20";"40";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112040_dri_mal_030.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112126_dri_mal_031.jpg";"20171123_112126_dri_mal_031.jpg";"2017:11:23 11:21:26";"42.9283171111111 -9.05128316666667";"20171123_112126_dri_mal_031.jpg";-9,05128;42,92831;"2017";"11";"23";"11";"21";"26";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112126_dri_mal_031.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112136_dri_mal_032.jpg";"20171123_112136_dri_mal_032.jpg";"2017:11:23 11:21:36";"42.9283171666667 -9.05128325";"20171123_112136_dri_mal_032.jpg";-9,05128;42,92831;"2017";"11";"23";"11";"21";"36";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112136_dri_mal_032.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112149_dri_mal_033.jpg";"20171123_112149_dri_mal_033.jpg";"2017:11:23 11:21:49";"42.9283171111111 -9.05128322222222";"20171123_112149_dri_mal_033.jpg";-9,05128;42,92831;"2017";"11";"23";"11";"21";"49";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112149_dri_mal_033.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112200_dri_mal_034.jpg";"20171123_112200_dri_mal_034.jpg";"2017:11:23 11:22:00";"42.9283171944444 -9.05128319444444";"20171123_112200_dri_mal_034.jpg";-9,05128;42,92831;"2017";"11";"23";"11";"22";"00";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112200_dri_mal_034.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_112425_dri_mal_035.jpg";"20171123_112425_dri_mal_035.jpg";"2017:11:23 11:24:25";"42.9286079166667 -9.05154036111111";"20171123_112425_dri_mal_035.jpg";-9,05154;42,9286;"2017";"11";"23";"11";"24";"25";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_112425_dri_mal_035.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_113105_dri_mal_036.jpg";"20171123_113105_dri_mal_036.jpg";"2017:11:23 11:31:05";"42.9272271388889 -9.05054541666667";"20171123_113105_dri_mal_036.jpg";-9,05054;42,92722;"2017";"11";"23";"11";"31";"05";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_113105_dri_mal_036.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_114357_dri_mal_037.jpg";"20171123_114357_dri_mal_037.jpg";"2017:11:23 11:43:57";"42.9250208888889 -9.05999002777778";"20171123_114357_dri_mal_037.jpg";-9,05999;42,92502;"2017";"11";"23";"11";"43";"57";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_114357_dri_mal_037.jpg"
