"SourceFile";"FileName";"CreateDate";"GPSPosition";"X_coord";"Y_coord";"Ano";"Mes";"Dia";"Hora";"Min";"Seg"
"C:/GitHub/AdantiaTools/01_FotosTool/Sources/20170911_102606_cac_lbn_001.jpg";"20170911_102606_cac_lbn_001.jpg";"2017:09:11 10:26:06";"43.4561916388889 -7.80830902777778";"-7.808309";"43.45619";"2017";"09";"11";"10";"26";"06"
"C:/GitHub/AdantiaTools/01_FotosTool/Sources/20170911_102609_cac_lbn_002.jpg";"20170911_102609_cac_lbn_002.jpg";"2017:09:11 10:26:09";"43.4561837222222 -7.80829919444444";"-7.808299";"43.45618";"2017";"09";"11";"10";"26";"09"
