"Cod_aero";"Aero";"Cod_parque";"minTime";"maxTime";"tiempo_s";"len";"tecnico";"filepath"
"0960";"1.2";"PNEB";"2016-11-15 10:08:33";"2016-11-15 10:21:28";775;583,423560639247;"801";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479200908801.gpx"
"0959";"1.1";"PNEB";"2016-11-15 10:23:40";"2016-11-15 10:39:17";937;513,346881630329;"179";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479201816179.gpx"
"0968";"2.5";"PNEB";"2016-11-15 10:51:11";"2016-11-15 11:05:09";838;477,623506481356;"310";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479203467310.gpx"
"0967";"2.4";"PNEB";"2016-11-15 11:08:13";"2016-11-15 11:20:20";727;454,438254276874;"548";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479204491548.gpx"
"0966";"2.3";"PNEB";"2016-11-15 11:22:40";"2016-11-15 11:34:55";735;535,974322269343;"939";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479205357939.gpx"
"0965";"2.2";"PNEB";"2016-11-15 11:37:33";"2016-11-15 11:47:04";571;506,311156171806;"381";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479206251381.gpx"
"0964";"2.1";"PNEB";"2016-11-15 11:52:06";"2016-11-15 12:02:28";622;419,86808056754;"027";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479207122027.gpx"
"1009";"10";"PSES";"2016-11-15 12:52:43";"2016-11-15 13:06:50";847;527,620382016153;"360";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479210759360.gpx"
"1008";"09";"PSES";"2016-11-15 13:17:44";"2016-11-15 13:27:05";561;444,142594441115;"009";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479212262009.gpx"
"1007";"08";"PSES";"2016-11-15 13:28:36";"2016-11-15 13:36:59";503;435,275281055493;"457";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479212912457.gpx"
"1006";"07";"PSES";"2016-11-15 13:38:46";"2016-11-15 13:46:16";450;446,765933890814;"464";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479213523464.gpx"
"1005";"06";"PSES";"2016-11-15 13:49:59";"2016-11-15 13:58:42";523;363,859082070026;"923";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479214194923.gpx"
"1004";"05";"PSES";"2016-11-15 14:01:23";"2016-11-15 14:08:21";418;292,869996617543;"622";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479214878622.gpx"
"1003";"04";"PSES";"2016-11-15 14:10:37";"2016-11-15 14:15:47";310;316,989500852372;"110";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479215431110.gpx"
"1002";"03";"PSES";"2016-11-15 14:20:29";"2016-11-15 14:26:41";372;324,063693908823;"842";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479216017842.gpx"
"1001";"02";"PSES";"2016-11-15 14:29:17";"2016-11-15 14:33:30";253;246,348580022212;"253";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479216552253.gpx"
"1000";"01";"PSES";"2016-11-15 14:37:23";"2016-11-15 14:41:55";272;287,896913237441;"807";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479217039807.gpx"
"0890";"05";"PCIN";"2016-11-16 08:18:21";"2016-11-16 08:28:10";589;236,432548874036;"837";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479280678837.gpx"
"0888";"03";"PCIN";"2016-11-16 08:33:23";"2016-11-16 08:41:22";479;388,531806879985;"593";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479281599593.gpx"
"0886";"01";"PCIN";"2016-11-16 08:43:54";"2016-11-16 08:49:49";355;242,259183328664;"208";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479282229208.gpx"
"0928";"35";"PLGA";"2016-11-16 08:58:54";"2016-11-16 09:06:56";482;291,430765780501;"522";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479283129522.gpx"
"0918";"25";"PLGA";"2016-11-16 09:30:50";"2016-11-16 09:35:18";268;182,021694620267;"478";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479285045478.gpx"
"0916";"23";"PLGA";"2016-11-16 09:40:56";"2016-11-16 09:45:24";268;218,654332927101;"772";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479285649772.gpx"
"0920";"27";"PLGA";"2016-11-16 09:49:25";"2016-11-16 09:58:31";546;478,767567853412;"548";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479286160548.gpx"
"0930";"37";"PLGA";"2016-11-16 10:06:26";"2016-11-16 10:13:14";408;214,388304734398;"423";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479287183423.gpx"
"0934";"41";"PLGA";"2016-11-16 10:18:16";"2016-11-16 10:27:01";525;276,488482200488;"139";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479287893139.gpx"
"0936";"43";"PLGA";"2016-11-16 10:47:36";"2016-11-16 10:55:01";445;393,747191769058;"206";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479289651206.gpx"
"0938";"45";"PLGA";"2016-11-16 10:56:49";"2016-11-16 11:03:08";379;187,622112170283;"870";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479290206870.gpx"
"0940";"47";"PLGA";"2016-11-16 11:06:40";"2016-11-16 11:11:17";277;160,133599779767;"224";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479290795224.gpx"
"0942";"49";"PLGA";"2016-11-16 11:13:36";"2016-11-16 11:17:11";215;117,292568335967;"393";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479291211393.gpx"
"0944";"51";"PLGA";"2016-11-16 11:19:41";"2016-11-16 11:24:57";316;239,792190839951;"085";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479291576085.gpx"
"0946";"53";"PLGA";"2016-11-16 11:28:59";"2016-11-16 11:34:11";312;250,516948767664;"930";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479292135930.gpx"
"0948";"55";"PLGA";"2016-11-16 11:37:22";"2016-11-16 11:42:29";307;283,851771908363;"324";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479292636324.gpx"
"0950";"57";"PLGA";"2016-11-16 11:44:15";"2016-11-16 11:49:48";333;275,846469919658;"243";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479293052243.gpx"
"0952";"59";"PLGA";"2016-11-16 11:52:12";"2016-11-16 11:58:04";352;425,996061889961;"523";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479293526523.gpx"
"0954";"61";"PLGA";"2016-11-16 12:06:46";"2016-11-16 12:10:39";233;140,487662082904;"919";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479294400919.gpx"
