"x";"y";"cod";"desc";"time";"type"
-7,810044;43,450126;"I";"Arrastre de áridos del vial a la plataforma.";"2018-02-14T09:45:54.445Z";"29"
-7,794032;43,441706;"I";"Acopio de madera en el AP del aerogenerador 33.";"2018-02-14T10:33:33.279Z";"29"
-7,491699;43,616046;"I";"Marcas profundas en la plataforma provocadas por el paso de vehículos.";"2018-02-14T12:52:15.958Z";"29"
